songName,singer,hot,lyric
容易受伤的女人,王菲,"290,339",容易受伤的女人作词：潘源良作曲：中岛美雪演唱：王菲人渐醉了夜更深在这一刻多么接近思想仿似在摇撼矛盾也更深曾被破碎过的心让你今天轻轻贴近多少安慰及疑问偷偷的再生情难自禁我却其实属于极度容易受伤的女人不要　不要不要骤来骤去请珍惜我的心如明白我继续情愿热恋这个容易受伤的女人不要等　这一刻请热吻长夜有你醉也真让我终于找到信任不管一切是疑问快乐是情人曾害怕了这一生是你始终甘心靠近我方知拥有着缘份重建我信心曾被破碎过的心让你今天轻轻贴近多少安慰及疑问偷偷的再生情难自禁我却其实属于极度容易受伤的女人不要　不要不要骤来骤去请珍惜我的心如明白我继续情愿热恋这个容易受伤的女人终此一生也火般的热吻长夜有你醉也真让我终于找到信任不管一切是疑问快乐是情人情难自禁我却其实属于极度容易受伤的女人不要　不要不要骤来骤去请珍惜我的心如明白我继续情愿热恋这个容易受伤的女人不要等　这一刻请热吻长夜有你醉也真让我终于找到信任不管一切是疑问快乐是情人
陪着我的时候想着她,郭静,"11,823",陪著我的时候想著她作词：黄婷作曲：鸦片丹演唱：郭静音乐节的烟火照亮多少人的寂寞震耳欲聋的全宇宙装不下一句温柔在你身后低著头也没有什麼好说如果你的难过你的沉默不为我和你一起听的歌怎麼都变那麼苦呢最爱的人就在身边怎麼我都不快乐原来甜蜜会乾涸幸福会陷入沼泽才让天的颜色心的温热都变了你陪著我的时候想著她你听不见我的心在喧哗明明我知道却装作没想法是善体人意还是傻瓜你陪著我的时候想著她你看不见我的笑多受伤世界有多大只剩下一个她遮住我的星光还占领你的善良那些舍得舍不得通通留给回忆好了如果你有那麼为难我也不能勉强的曾一起走过曲折现在谁还能选择从此你的内疚我的迁就自由了你陪著我的时候想著她你听不见我的心在喧哗明明我知道却装作没想法是善体人意还是傻瓜你陪著我的时候想著她你看不见我的笑多受伤世界有多大只剩下一个她遮住我的星光还占领(著)你的善良人潮推著我们走就松开了那双彼此紧紧握著的手最后的以后Oh
天使经过身边,林依晨,"1,384",林依晨-天使经过身边作词：俞方作曲：曾檐熟悉的巷弄间记忆中的经典你牵车走左边脚步为我慢一些你右边的侧脸我心动的景点陪我回家的路最好能再远一点你说遇见一个人给你好多的快乐对你来说这比喜欢更温柔你摊开了我的手写下答案就是我对我来说那是绝版的感动天使经过身边最单纯那几年一个人好两个人都会笑天使经过身边像白纸的初恋牢牢记得你没说的你爱我天使经过身边最单纯那几年一个人好两个人都会笑天使经过身边像白纸的初恋牢牢记得你没说的你爱我我想有些感觉不怕事过境迁虽然那时我们还不懂得想念
再说一次我爱你,刘德华,"6,045",再说一次我爱你作词：刘德华、李安修作曲：KimHomJic演唱：刘德华记得那天你坐在我的面前你的意愿很明显等我的表现我说改天等我有足够时间我一定给你一次完美爱情的宣言多想抓紧每一瞬间只怕故事已是昨天才明白忽略是我最大的缺陷我真的好想再说一次我爱你我愿意放弃所有一切只为换回你如果时间能够为你而倒流真的好想牵着你的双手再说一次我爱你回忆已经没有你在我面前看什么也会感到厌倦我闭上双眼多想两个人盖一张被一同刷牙一同洗脸才明白错把机会借给了明天我真的好想再说一次我爱你我愿意放弃所有一切只为换回你逃避原来不是面对的道理看清自己种下的可惜重复后悔的延续喔我真的好想再说一次我爱你我愿意放弃所有一切只为换回你如果时间能够为你而倒流真的好想牵着你的双手再说一次我爱你
没有你的日子我真的好孤单,韩晶,"8,710",没有你的日子我真的好孤单演唱：韩晶走一个人走走的累了心却碎了爱一个人爱爱的哭了哭的倦了路上行人在穿梭伤了心的人究竟有几个耳旁的恋人都在唱歌可我的爱到底剩下什么没有你的日子我真的好孤单所有的心碎全与我相伴没有你的城市我真的好茫然所有的快乐都与我无关没有你的日子我真的好孤单思念的痛还在心里纠缠没有你的城市我真的好迷乱爱与不爱都已经太晚回头太难路上行人在穿梭伤了心的人究竟有几个耳旁的恋人都在唱歌可我的爱到底剩下什么没有你的日子我真的好孤单所有的心碎全与我相伴没有你的城市我真的好茫然所有的快乐都与我无关没有你的日子我真的好孤单思念的痛还在心里纠缠没有你的城市我真的好迷乱爱与不爱都已经太晚回头太难没有你的日子我真的好孤单所有的心碎全与我相伴没有你的城市我真的好茫然所有的快乐都与我无关没有你的日子我真的好孤单思念的痛还在心里纠缠没有你的城市我真的好迷乱爱与不爱都已经太晚回头太难回头太难
爱情不过那么回事,孟楠,"4,854",爱情不过那么回事歌手：孟楠想起那年的事满腹委屈已经消失漫漫的日子还要自己跟自己对峙话有几分真实追究也都是过去式笑自己当时太幼稚太无知爱情不过那么回事心再痴结果依旧背道而驰爱情不过那么回事再掩饰眼眶还是被眼泪沾湿想起那年的事满腹委屈已经消失漫漫的日子还要自己跟自己对峙话有几分真实追究也都是过去式笑自己当时太幼稚太无知就任它草草了事只怪你们都固执是真的不太合适哪里都太不合适看起来有点讽刺人人都扮着天使却把受过的伤再送给下个人尝试爱情不过那么回事心再痴结果依旧背道而驰爱情不过那么回事再掩饰眼眶还是被眼泪沾湿爱情不过那么回事心再痴结果依旧背道而驰爱情不过那么回事再掩饰眼眶还是被眼泪沾湿爱情不过那么回事再解释还是无法作个诠释爱情不过那么回事别以为弃旧投新太过可耻难道死缠烂打就是坚持爱情就是那么回事
我很好,刘若英,"5,710","我很好作曲：陈忠义作词：阿信,五月天演唱;刘若英沙发上睡着　孤单冷醒的破晓冷的面条　热的泪痕　啤酒在苦笑当时的煎熬　当时的心痛如绞天终于亮了　遗憾终于退潮终于能够恨不再疯　泪不再掉　心不跑一定会有一个人　一段新的美好谁让我拥抱　谁让我再一次心跳就算爱情让我再次的跌倒　伤痕也要是一种骄傲谁让我拥抱　谁让我疯狂的心跳就算明天整个城市要倾倒　也让我爱到最后一秒丢掉电影票　删掉信件跟合照洗了床单　剪了头发　清空了烦恼恨可以很小　小到眼泪能冲掉我现在很好　可以重新起跑终于能够恨不再疯　泪不再掉　心不跑一定会有一个人　一段新的美好谁让我拥抱　谁让我再一次心跳就算爱情让我再次的跌倒　伤痕也要是一种骄傲谁让我拥抱　谁让我疯狂的心跳就算明天整个城市要倾倒　也让我爱到最后一秒地铁涌出了人潮　幸福涌出了预兆我会找回当初对爱天真的霸道谁让我拥抱　谁让我再一次心跳就算爱情让我再次的跌倒　伤痕也要是一种骄傲谁让我拥抱　谁让我疯狂的心跳就算明天整个城市要倾倒　也让我爱到最后一秒谁让我拥抱　谁让我疯狂的心跳就算明天整个城市要倾倒　也让我爱到最后一秒"
单人旅途,许嵩,"4,984",单人旅途作词：许嵩作曲：许嵩演唱：许嵩黄昏骤雨过后濛濛的水边有蓝色的蝴蝶画翩翩的弧线多么缠绵酝酿着的诺言保存期又有几年夕阳如血彼岸花开得妖艳当美景都重叠视线丢了焦点车窗外面泥土清香沁入心田情绪一点一点沉淀松松松松开了你的手没有觉得一个人的旅途有何寂寞你有离开的理由我有闲适的理由你我太多的不同NoNoNo没什么参不透没有觉得一个人的生活有何不妥你有离开的理由我有闲适的理由你我太多的不同那就没什么好说黄昏骤雨过后濛濛的水边有蓝色的蝴蝶画翩翩的弧线多么缠绵酝酿着的诺言保存期又有几年夕阳如血彼岸花开得妖艳当美景都重叠视线丢了焦点车窗外面泥土清香沁入心田情绪一点一点沉淀松松松松开了你的手没有觉得一个人的旅途有何寂寞你有离开的理由我有闲适的理由你我太多的不同NoNoNo没什么参不透没有觉得一个人的生活有何不妥你有离开的理由我有闲适的理由你我太多的不同那就没什么好说松松松松开了你的手没有觉得一个人的旅途有何寂寞你有离开的理由我有闲适的理由你我太多的不同NONONONONONO...没什么参不透没有觉得一个人的生活有何不妥你有离开的理由我有闲适的理由你我太多的不同那就没什么好说
悬崖,尚雯婕,"7,469",我不管爱葬身何处我只求陪你直到末路月已残灯已尽夜黑人模糊这一生因为爱你才清楚悬崖+尚雯婕词+许常德曲+季忠平al+by+围栏里的猪再一步爱就会粉身碎骨坠入无尽的孤独世界太冷酷梦太投入早习惯不能回头的付出风在哭当我走到悬崖停驻发觉泪也有温度生命太短促痛太清楚才让你让我爱到无退路我不管爱落向何处我只求今生今世共度天已荒海已枯心留一片土连泪水都能灌溉这幸福我不管爱葬身何处我只求陪你直到末路月已残灯已尽夜黑人模糊这一生因为爱你才清楚悬崖+尚雯婕
假装,刘德华,"25,143",假装作词：林振强作曲：陈大力陈秀男演唱：刘德华紫色灯光穿过酒杯晚风偷窥灰色约会这数晚你带着敷衍的身躯似不想多跟我依偎即使相拥都似误会眼睛仿佛想讲再会沉默对着沉默烟灰双方心神实在未溶汇请说谎吧不要相告你有他准这最后一宵有火花假装一双恋人假装一起欢腾假装喜欢亲我吧重演当天的好戏即使即将分离假装一宵可以吗假装一双恋人假装一起欢腾假装舍不得我吧留多些思忆给那即将孤单的人深深地亲他就算假今宵假装一切不知也装不懂当中意义你每个吻冷像冬天的枯枝我只好辛苦诈不知始终始终把你重视你即使只草草了事全在我内曾是痴即使于今时亦尽是情义请说谎吧不要相告你有他准这最后一宵有火花假装一双恋人假装一起欢腾假装喜欢亲我吧重演当天的好戏即使即将分离假装一宵可以吗假装一双恋人假装一起欢腾假装舍不得我吧留多些思忆给那即将孤单的人深深地亲他就算假假装一双恋人假装一起欢腾假装喜欢亲我吧重演当天的好戏即使即将分离假装一宵可以吗假装一双恋人假装一起欢腾假装舍不得我吧留多些思忆给那即将孤单的人深深地亲他就算假
