songName,singer,hot,lyric
疼爱,萧敬腾,"7,457",疼爱作词：阿信作曲：阿信演唱：萧敬腾我沉默不代表我不痛我不痛眼泪就不会流总是安静承受安静忍受安静看你走你说我很适合当朋友你说我总是会听你说你说别太难过保持联络有空的时候把疼爱都给你把疼痛都给我最痛是当时微笑送你走等到你转身后眼泪也不敢流只怕你偶然还会回过头把疼爱都给你把疼痛都给我放开手是我最后的温柔如果你能飞得快乐自由这疼痛并不算什么想挽留　却为什麽点头我不懂　连我都不懂我如果说的太少　爱的太多有谁能够懂把疼爱都给你把疼痛都给我最痛是当时微笑送你走等到你转身后眼泪也不敢流只怕你偶然还会回过头把疼爱都给你把疼痛都给我放开手是我最后的温柔如果你能飞得快乐自由这疼痛并不算什么千言万语拥挤我的宇宙让我震耳欲聋　喔喔有多少爱　就有多少沉默的疼痛把疼爱都给你把疼痛都给我最痛是当时微笑送你走等到你转身后眼泪也不敢流只怕你偶然还会回过头把疼爱都给你把疼痛都给我放开手是我最后的温柔如果你能飞得快乐自由这疼痛并不算什么
好好爱(甜蜜真实版),By2,"2,139",好好爱演唱：By2能不能好好爱我手牵手一起走不管时间多久都要在同一国隐藏版快乐天空我分你咬一口只想和你一起到永久我喜欢收集微笑没有原因这世界本来就没有个道理寂寞它跟我从来没有联络是非题选择题或放弃做决定向左向右需要勇气也可以做个闹钟全部归零反正我花不完的就是年轻对不对好不好没关系而我最想一起的就是你能不能好好爱我手牵手一起走不管时间多久都要在同一国隐藏版快乐天空我分你咬一口只想和你一起到永久做决定向左向右需要勇气也可以做个闹钟全部归零反正我花不完的就是年轻对不对好不好没关系而我最想一起的就是你能不能好好爱我手牵手一起走不管时间多久都要在同一国隐藏版快乐天空我分你咬一口只想和你一起到永久能不能好好爱我手牵手一起走不管时间多久都要在同一国隐藏版快乐天空我分你咬一口只想和你一起到永久到永久到永久只想和你一起
简单爱,周杰伦,"61,231",简单爱作词：徐若瑄作曲：周杰伦演唱：周杰伦说不上为什麽我变得很主动若爱上一个人什麽都会值得去做我想大声宣布对你依依不舍连隔壁邻居都猜到我现在的感受河边的风在吹着头发飘动牵着你的手一阵莫名感动我想带你回我的外婆家一起看着日落一直到我们都睡着我想就这样牵着你的手不放开爱能不能够永远单纯没有悲哀我想带你骑单车我想和你看棒球想这样没担忧唱着歌一直走我想就这样牵着你的手不放开爱可不可以简简单单没有伤害你靠着我的肩膀你在我胸口睡着像这样的生活我爱你你爱我想简简单单爱想简简单单爱我想大声宣布对你依依不舍连隔壁邻居都猜到我现在的感受河边的风在吹着头发飘动牵着你的手一阵莫名感动我想带你回我的外婆家一起看着日落一直到我们都睡着我想就这样牵着你的手不放开爱能不能够永远单纯没有悲哀我想带你骑单车我想和你看棒球想这样没担忧唱着歌一直走我想就这样牵着你的手不放开爱可不可以简简单单没有伤害你靠着我的肩膀你在我胸口睡着像这样的生活我爱你你爱我想简简单单爱想简简单单爱我想就这样牵着你的手不放开爱能不能够永远单纯没有悲哀我想带你骑单车我想和你看棒球想这样没担忧唱着歌一直走我想就这样牵着你的手不放开爱可不可以简简单单没有伤害你靠着我的肩膀你在我胸口睡着像这样的生活我爱你你爱我
写一首歌,顺子,"2,742","写一首歌演唱：顺子月亮在你的眼睛　太阳在我心现在我唱这首歌　OHH　只为你想把所有烦恼都忘掉　做不做的到你明白我心在燃烧　因为你　因为你OH　为你你心中的话　我全都想听　能不能相信所有的梦里全都是你　会不会停息和你一起　是否　不会再放弃　你的心里有没有秘密我分不清　不要在意　只想为想为你写一首歌写一首歌　都是你　OOH月亮在你的眼睛　太阳在我心现在我唱这首歌　OH　只为你想把所有烦恼都忘掉　做不做的到你明白我心在燃烧　因为你　因为你为你　为你　OOHOH,LOVE'SINTHEAIR　IT'SEVERYWHEREEVERYONECANSEE　EVERYONECANFEELTHATLOVE'SINTHEAIRITDOESN'TMATTERWHEREEVERYONEAGREES　LOVEISALLWENEEDWHENTHEMOONFALLSINYOUREYESIKNOWTHESUNHASSETTHEFIRESTILLBURNSWITHINMESINCETHEDAYWEMETIKNOWMYHEAVENWOULDBESOCOMPLETEYOUCOULDMAKEITREALIWON'TLETTHISCHANGEGOBY　ICANSEEICANFEELYOUWHENTHEMOONFALLSINYOUREYESIKNOWTHESUNHASSETTHEFIRESTILLBURNSWITHINME,WITHINME月亮在你的眼睛　太阳在我的心现在我唱这首歌　只为你"
我要活上去,旺福,120,我要活上去作词：姚小民作曲：姚小民演唱：旺福Life怎么会那么奇怪有时候让人期待有时候让人想要离开唉叹口气放在口袋明天一大早醒来该在的全都不在剩下那口气比我还想醒来它正在等待我要用力用力用力用力呼吸就算只是因为悲伤的一口气那就证明我还有生命有力气有奇迹去改变我自己我要用力用力用力用力呼吸就算上气常常都接不了下气活下去没什么了不起我还要活上去我一定没问题Life怎么会那么奇怪有时候让人期待有时候让人想要离开唉叹口气放在口袋明天一大早醒来该在的全都不在剩下那口气比我还想醒来它正在等待我要用力用力用力用力呼吸就算只是因为悲伤的一口气那就证明我还有生命有力气有奇迹去改变我自己我要用力用力用力用力呼吸就算上气常常都接不了下气活下去没什么了不起我还要活上去我一定没问题我要用力用力用力用力呼吸就算只是因为悲伤的一口气那就证明我还有生命有力气有奇迹去改变我自己我要用力用力用力用力呼吸就算上气常常都接不了下气活下去没什么了不起我还要活上去我一定没问题活下去没什么了不起我还要活上去我可以我一定没问题Life永远都那么奇怪过去现在和未来该怎么去安排就算不能安排我至少有现在
牧马人,杨坤,"20,463",牧马人作词：文雅作曲：杨坤演唱：杨坤风吹过草低见牛羊呼伦贝尔泥土都带香一挥手雄鹰在肩膀把天地都收进胸膛家就在奔驰马背上游牧民族热爱着远方被风霜雕刻的脸庞从出生就有的沧桑牧马人还在流浪他追随着迁徙的草场寂寞时歌声悠扬那支长调世代传唱牧马人还在流浪他身后是落下的夕阳马头琴对着月亮没人知道他的忧伤家就在奔驰马背上游牧民族热爱着远方被风霜雕刻的脸庞从出生就有的沧桑牧马人还在流浪他追随着迁徙的草场寂寞时歌声悠扬那支长调世代传唱牧马人还在流浪他身后是落下的夕阳马头琴对着月亮没人知道他的忧伤天苍苍野茫茫自由像风一样那是我伸手就可及的天堂天苍苍野茫茫人心洁净安详那是我早已回不去的故乡天苍苍野茫茫自由像风一样那是我伸手就可及的天堂天苍苍野茫茫人心洁净安详那是我早已回不去的故乡天苍苍野茫茫自由像风一样那是我伸手就可及的天堂天苍苍野茫茫人心洁净安详那是我早已回不去的故乡天苍苍野茫茫自由像风一样那是我伸手就可及的天堂天苍苍野茫茫人心洁净安详那是我早已回不去的故乡
一辈子做你的女孩,萧亚轩,279,一辈子做你的女孩作词：萧亚轩作曲：JohnThemistocleous，LorneAlistairTenna演唱：萧亚轩星空下去爱去爱漫舞在云端徘徊夜晚环绕只有你我一支舞的时间够不够星空下相爱相爱我害羞期待等待只要和你一起就够一辈子我要做你的女孩看着你朝我走来我故作无意姿态灯火渐燃舞池中彷佛眼中剩我你问我是否能够共舞一首牵我的手融化你我在舞步中音乐放慢拥抱着我节奏里感觉到你心跳加快不赶时间我们会有一整个夜晚星空下去爱去爱漫舞在云端徘徊夜晚环绕只有你我一支舞的时间够不够星空下相爱相爱我害羞期待等待只要和你一起就够一辈子我要做你的女孩朋友说别太容易相信一见钟情不值得信赖太多破碎的心是因感觉来的太快我也知道太不应该如此冲动自找伤害千万别轻易表心态但是无奈心跑太快你保证我你不会轻易走开我答应你让我们拥有更多个夜晚就是现在Tonight星空下去爱去爱漫舞在云端徘徊夜晚环绕只有你我一支舞的时间够不够星空下相爱相爱我害羞期待等待只要和你一起就够一辈子我要做你的女孩星空下去爱去爱漫舞在云端徘徊夜晚环绕只有你我一支舞的时间够不够星空下相爱相爱我害羞期待等待只要和你一起就够一辈子我要做你的女孩
瘦瘦的,梁静茹,"5,647",瘦瘦的作词:姚若龙作曲:陈小霞演唱：梁静茹在童话很远的世界漂流完美是个多奢侈的念头终于搜集够多的伤口才懂八十分的幸福已足够你让我感动是多过心动踏实却比浪漫来得持久朋友还在怀疑我的选择而我不当仙女已经很久了我的心现在瘦瘦的很容易就饱了为了抢快乐搞得不快乐为什么人总那么傻呢我的梦现在瘦瘦的一下子就满了你的爱或许不是最美的你的手却很厚很念旧如果一个人一辈子只能分到一块叫做幸福的蛋糕宁愿一小口很小口品尝味道不想过瘾的一口吃掉
最快乐那一年,梁静茹,857,最快乐那一年作词：姚若龙　作曲：黄韵玲　演唱：梁静茹一部怀旧的电影淋湿了心情你的爱还在旅行或已定居哪里也许遗憾和年轻总绑在一起不容许一点委屈等放手才懂惋惜静下心来发现过去大半是甜蜜回忆我最快乐那一年是你陪我经历一切什么都生动又强烈有真正在活着的感觉我们最快乐的那一年像浓缩了最精华的时间短暂却永远是火焰在情绪冰凉时暖和心田也许遗憾和年轻总绑在一起不容许一点委屈等放手才懂惋惜静下心来发现过去大半是甜蜜回忆我最快乐那一年是你陪我经历一切什么都生动又强烈有真正在活着的感觉我们最快乐的那一年像浓缩了最精华的时间短暂却永远是火焰在情绪冰凉时暖和心田我最快乐那一年是你陪我经历这一切什么都生动又强烈有真正在活着的感觉我们最快乐的那一年像浓缩了最精华的时间短暂却永远是火焰在情绪冰凉时暖和心田多留恋都不能活在从前决定不愁眉苦脸不让深爱的人挂念
梦想的签名,Shine,9,梦想的签名作词：徐世珍作曲：JamesTing演唱：shine我会看看天气再决定我要往哪里去谁都不能替我呼吸替我恋爱替我问问题还没过的明天好像还没连线的游戏厉不厉害可不可以升级你担什么心我有我的未来不必麻烦你挡在我面前挡住了我的眼睛挡不住我心跳的声音我有我的样子多伟大而已放开你的手谁都不是谁的玩具头也不回我不管别人信不信开一条路看我行不行输还是赢不想被规定我要替梦想留下签名对或不对不能停一停风还是雨我都拚一拚想飞更高心里就需要有更勇敢的反地心引力我会看看天气再决定我要往哪里去谁都不能替我呼吸替我恋爱替我问问题还没过的明天好像还没连线的游戏厉不厉害可不可以升级你担什么心我有我的未来不必麻烦你挡在我面前挡住了我的眼睛挡不住我心跳的声音我有我的样子多伟大而已放开你的手谁都不是谁的玩具头也不回我不管别人信不信开一条路看我行不行输还是赢不想被规定我要替梦想留下签名对或不对不能停一停风还是雨我都拚一拚想飞更高心里就需要有更勇敢的反地心引力头也不回我不管别人信不信开一条路看我行不行输还是赢不想被规定我要替梦想留下签名对或不对不能停一停风还是雨我都拚一拚想飞更高心里就需要有更勇敢的反地心引力头也不回我不管别人信不信开一条路看我行不行输还是赢不想被规定我要替梦想留下签名对或不对不能停一停风还是雨我都拚一拚想飞更高心里就需要有更勇敢的反地心引力
